NAME_SHORT;DE;DE;DE;DE;DE;DE;DE;DE
Quantile;q100;q97;q95;q90;q75;q67;q50;q30
15;0.910554876587516;0.5554161003765173;0.03834445260269882;0.03316285402988254;0.4689314779340245;0.1769261051764175;0.0008940555862898894;0.06479783919074278
16;1.0;0.6222376057905304;0.08151741638501783;0.10297445756561388;0.5135242573603885;0.1733552317143967;0.0838307823609998;0.0626061765338713
17;1.0;0.6666105260379689;0.0869300038945045;0.03811146088510634;0.5432434976481711;0.20355339909720946;0.09375275806683328;0.05765913534961755
18;1.0;0.7564898013586048;0.08317524627537445;0.03345300540948375;0.5749949730035249;0.26864232084374595;0.06830578827367426;0.05514178899645209
19;1.0;0.8771608824435406;0.08706424769403359;0.05956186813120363;0.6382073989377288;0.2920987891997742;0.07307946175723148;0.06788085600027241
20;1.0;0.968943412565584;0.10528997869599288;0.10900271543436854;0.732777207919795;0.3396005376805563;0.05561587034710235;0.11062698789148984
21;1.0;1.0;0.10691114678059424;0.11858454870586937;0.8345029111079711;0.38059745003763384;0.10463023188040796;0.13648559999399146
22;1.0;1.0;0.12342725538035892;0.19247907812015597;0.9586311968711484;0.4027019757751941;0.29330497480739764;0.14375795625011023
23;1.0;1.0;0.14510716944956223;0.29686936450751017;1.0;0.407704724035943;0.4591340809891421;0.16149208845781138
24;1.0;1.0;0.1394694183389744;0.34458035758309685;1.0;0.4152630669229482;0.5606045266656116;0.1901361164673953
25;1.0;1.0;0.13515873574179296;0.37876519698929684;1.0;0.5142078227391312;0.6676217999917903;0.23481446136824694
26;1.0;1.0;0.14474320232403873;0.4489825896642955;1.0;0.65301461152037;0.7551337109299815;0.3105286204727474
27;1.0;1.0;0.17045666000385856;0.5528874167487587;1.0;0.7508249747908756;0.8412893364945236;0.41895113607398576
28;1.0;1.0;0.21058129521743885;0.6909804945745237;1.0;0.9701619929219595;0.9420405063705513;0.5536584983089744
29;1.0;1.0;0.2544522720755815;0.8728500629294512;1.0;1.0;1.0;0.6763878074218703
30;1.0;1.0;0.2978647821919648;1.0;1.0;1.0;1.0;0.7307212570110307
31;1.0;1.0;0.44693859600312513;1.0;1.0;1.0;1.0;0.7484541317285237
32;1.0;1.0;0.5243030304581555;1.0;1.0;1.0;1.0;0.7493892578755496
33;1.0;1.0;0.7908405560738809;0.9778595862888427;1.0;1.0;1.0;0.849113413860426
34;1.0;1.0;1.0;0.9349288827794198;1.0;0.929789357822531;1.0;1.0
35;1.0;1.0;1.0;1.0;1.0;0.7425670840622303;1.0;1.0
36;1.0;1.0;1.0;1.0;1.0;0.6522704646283174;1.0;1.0
37;1.0;1.0;1.0;1.0;1.0;0.46827757475990545;1.0;1.0
38;1.0;1.0;1.0;1.0;1.0;0.3877119203705619;1.0;0.8914029958859259
39;1.0;1.0;0.889269301320297;0.8539174735897256;1.0;0.4762704483512878;1.0;0.7622533969188162
40;1.0;1.0;0.8096982312771138;0.8309184726812824;1.0;0.5528812803513607;1.0;0.7814584521678428
41;1.0;1.0;0.7165397910088883;0.9747786676516329;1.0;0.6172360414604546;1.0;0.7164377612430274
42;1.0;1.0;0.6613991240958591;1.0;1.0;0.8306533481877367;1.0;0.6546059816641969
43;1.0;1.0;0.7033127291712885;0.7774650926228055;1.0;0.8440949230951418;0.9104199299190333;0.5460828336616693
44;1.0;1.0;0.9087417164204475;0.4424064594645996;1.0;0.7650031895147872;0.5169052753467034;0.491069595930741
45;1.0;1.0;0.7109016708565655;0.3587178462313388;1.0;0.5754041922364167;0.45044230349768777;0.4883850602750041
46;1.0;1.0;0.7647971402749156;0.30243226947962415;1.0;0.5324013771813235;0.4911951027697416;0.5093314919600428
47;0.8457722506823534;1.0;0.7934872624144513;0.23684166307262547;1.0;0.681488388122838;0.4968410782809665;0.46033962479595175
48;0.44749129771705226;1.0;0.7295202794018397;0.17687403273304403;1.0;0.591665726798005;0.39344589048717654;0.3797826533578144
49;0.38311893137607694;1.0;0.695127574288184;0.09292252810805626;1.0;0.4739463368810138;0.2570666424913042;0.28773187052594473
